state:Alaska
city:Anchorage
year:2006,crimerate:1352.6
year:2007,crimerate:1305.3
year:2008,crimerate:1274.4
year:2009,crimerate:1202.0
year:2010,crimerate:1035.5
year:2011,crimerate:1076.4
year:2012,crimerate:1114.7
year:2013,crimerate:1055.0
year:2014,crimerate:1058.7
year:2015,crimerate:1151.7
year:2016,crimerate:1288.1
year:2017,crimerate:1302.8
state:Alabama
city:Arab
year:2003,crimerate:474.3
year:2004,crimerate:351.1
year:2005,crimerate:454.5
year:2006,crimerate:414.2
year:2007,crimerate:628.4
year:2008,crimerate:599.4
year:2009,crimerate:515.7
year:2010,crimerate:549.4
year:2011,crimerate:454.0
year:2012,crimerate:573.7
year:2013,crimerate:450.5
state:Alabama
city:Ardmore
year:2003,crimerate:116.0
year:2004,crimerate:192.3
year:2005,crimerate:242.2
year:2006,crimerate:64.5
year:2007,crimerate:184.3
year:2008,crimerate:96.8
year:2009,crimerate:45.5
year:2010,crimerate:233.4
year:2011,crimerate:173.3
year:2012,crimerate:144.9
year:2013,crimerate:103.6
year:2014,crimerate:314.9
year:2015,crimerate:143.9
state:Alabama
city:Argo
year:2003,crimerate:152.4
year:2004,crimerate:200.4
year:2005,crimerate:222.6
year:2006,crimerate:122.7
year:2007,crimerate:112.9
year:2008,crimerate:97.9
year:2009,crimerate:66.9
year:2010,crimerate:102.8
state:Alabama
city:Ariton
year:2003,crimerate:310.6
year:2004,crimerate:125.8
year:2005,crimerate:5.4
year:2006,crimerate:120.0
state:Alabama
city:Arley
year:2003,crimerate:246.9
year:2004,crimerate:303.6
year:2005,crimerate:623.2
state:Alabama
city:Ashford
year:2003,crimerate:94.5
year:2004,crimerate:98.4
year:2005,crimerate:155.9
year:2006,crimerate:103.1
year:2007,crimerate:110.8
year:2008,crimerate:116.1
year:2009,crimerate:166.7
year:2010,crimerate:289.4
year:2011,crimerate:280.8
year:2012,crimerate:182.4
year:2013,crimerate:128.6
year:2014,crimerate:175.6
year:2015,crimerate:176.5
year:2016,crimerate:97.6
year:2017,crimerate:95.8
state:Alabama
city:Ashland
